verification_id,applicant_id,verification_date,declared_income,verified_income,income_variance_pct,employment_type,employer_category,employment_tenure_yrs,form16_available,itr_filed,gst_filed,verification_source,verification_status
VER000020,APP010303,2023-10-18,69937.0,57481.0,-5.9,Salaried,PSU Bank,18.1,1,0,0,Bank Statement,Verified
VER000021,APP003335,2023-11-13,53949.0,50307.0,6.4,Business Owner,Government,8.6,0,1,1,Payslip,Verified
VER000022,APP005373,2022-06-25,80601.0,68055.0,7.1,Salaried,Healthcare,0.8,1,1,0,Bank Statement,Verified
VER000023,APP000411,2023-06-27,36444.0,28183.0,-12.0,Self-Employed,FMCG,18.4,0,0,1,Bank Statement,Verified
VER000024,APP014274,2023-09-28,25583.0,21021.0,6.6,Self-Employed,IT Company,18.2,0,1,1,Payslip,Partial
VER000025,APP009805,2022-12-23,132674.0,120265.0,-6.3,Salaried,Manufacturing,5.6,1,0,0,Bank Statement,Verified
VER000026,APP005688,2023-02-13,33658.0,25301.0,300.4,Business Owner,PSU Bank,11.8,0,0,1,ITR,Verified
VER000027,APP009895,2023-06-27,77942.0,72076.0,6.2,Retired,Retail,18.7,0,1,0,Payslip,Faild
VER000028,APP010963,2022-03-20,228813.0,229548.0,-6.4,Salaried,Startup,14.0,1,1,0,Bank Statement,Verified
VER000029,APP003245,2023-06-03,16400.0,16004.0,5.7,Salaried,Retail,10.7,1,1,0,Bank Statement,Unverified
VER000030,APP003792,2023-11-14,53535.0,43560.0,-0.4,Freelancer,Manufacturing,17.7,0,1,0,Bank Statement,Verified
VER000031,APP001924,2022-07-27,64455.0,60636.0,3.5,Salaried,PSU Bank,0.7,1,1,0,Bank Statement,Verified
VER000032,APP000279,2022-08-30,81351.0,72124.0,-4.3,Salaried,Healthcare,12.1,1,1,0,Payslip,Verified
VER000033,APP003224,2022-02-28,43578.0,44438.0,2.7,Salaried,Education,9.9,1,0,0,Bank Statement,Verified
VER000034,APP000564,2024-02-16,149351.0,126351.0,-10.9,Salaried,FMCG,23.3,1,1,0,Bank Statement,Failed
VER000035,APP003218,2023-06-09,88830.0,64575.0,-11.1,Self-Employed,Education,15.2,0,1,1,GST Portal,Partial
VER000036,APP003634,2024-05-11,31886.0,25987.0,-8.9,Business Owner,Education,19.9,0,1,1,Payslip,Verified
VER000037,APP004716,2022-06-11,33755.0,30761.0,7.5,Salaried,Education,21.3,1,1,0,GST Portal,Unverified
VER000038,APP007650,2024-02-27,162369.0,132638.0,2.1,Salaried,Telecom,7.4,1,1,0,Bank Statement,Failed
VER000039,APP003577,2024-04-05,29452.0,24236.0,-10.4,Salaried,Retail,7.3,1,1,0,Bank Statement,Unverified
VER000040,APP007565,2022-01-12,87214.0,81463.0,-13.2,Retired,Retail,18.9,0,0,0,Bank Statement,Unverified
VER000041,APP014409,2024-02-20,66648.0,79102.0,7.6,Business Owner,Government,3.6,0,1,0,ITR,Unverified
VER000042,APP013861,2022-10-20,52617.0,51439.0,9.3,Salaried,Education,17.2,1,0,0,Bank Statement,Verified
VER000043,APP009495,2022-07-17,64811.0,51147.0,-5.9,Salaried,Telecom,2.1,1,1,0,Bank Statement,Verified
VER000044,APP010500,2024-04-27,57616.0,51200.0,7.3,Business Owner,FMCG,6.8,0,1,1,GST Portal,Verified
VER000045,APP006492,2023-05-20,161638.0,141967.0,-2.1,Salaried,Telecom,11.1,1,1,0,Payslip,Verified
VER000046,APP013875,2022-10-06,117879.0,102880.0,-11.6,Retired,Retail,6.5,0,1,0,ITR,Verified
VER000047,APP014969,2023-02-12,20287.0,17283.0,-14.1,Self-Employed,Healthcare,3.3,0,1,1,Payslip,Verified
VER000048,APP009415,2023-05-20,54910.0,40830.0,-4.9,Freelancer,Education,8.1,0,0,0,Payslip,Partial
VER000049,APP014924,2022-05-14,124127.0,113694.0,-5.5,Self-Employed,Startup,2.8,0,1,1,ITR,Verified
VER000050,APP002569,2022-04-23,146623.0,105356.0,-8.1,Business Owner,Startup,9.6,0,1,0,GST Portal,Unverified
VER000051,APP011276,2022-03-22,36440.0,26900.0,-13.4,Self-Employed,Healthcare,12.2,0,1,1,Bank Statement,Partial
VER000052,APP009000,2024-05-11,214103.0,155271.0,-5.8,Self-Employed,FMCG,10.3,0,1,1,Bank Statement,Verified
VER000053,APP003469,2024-01-29,88184.0,62313.0,-12.0,Salaried,Telecom,20.8,1,0,0,Payslip,Failed
VER000054,APP006357,2023-10-22,16154.0,14574.0,-12.8,Salaried,PSU Bank,0.6,1,0,0,Payslip,Verified
VER000055,APP009632,2024-03-03,63033.0,66151.0,4.6,Self-Employed,FMCG,14.3,0,1,1,Bank Statement,Verified
VER000056,APP008966,2023-09-11,54514.0,47478.0,-1.5,Salaried,Retail,10.7,1,1,0,Payslip,Partial
VER000057,APP003496,2022-07-14,71267.0,67204.0,-0.6,Salaried,Manufacturing,12.1,1,1,0,Payslip,Partial
VER000058,APP007363,2022-05-06,29630.0,24957.0,-4.1,Salaried,Healthcare,20.9,1,1,0,Payslip,Verified
VER000059,APP003515,2022-06-30,31981.0,31077.0,-3.3,Self-Employed,Startup,14.7,0,1,0,Payslip,Verified
VER000060,APP001083,2023-10-22,20774.0,19162.0,9.1,Self-Employed,Healthcare,15.9,0,1,0,Payslip,Verified
VER000061,APP002495,2023-08-05,87093.0,82592.0,3.7,Self-Employed,Education,2.4,0,0,0,Payslip,Partial
VER000062,APP010671,2023-03-22,34779.0,36337.0,-1.2,Self-Employed,Education,18.2,0,1,1,Bank Statement,Verified
VER000063,APP012589,2022-03-22,37787.0,33195.0,-1.6,Freelancer,Education,24.8,0,0,0,Bank Statement,Failed
VER000064,APP007642,2023-01-15,19461.0,16640.0,6.3,Salaried,Manufacturing,24.1,1,1,0,ITR,Failed
VER000065,APP007433,2023-12-23,24970.0,22618.0,-15.0,Self-Employed,Retail,14.0,0,0,1,GST Portal,Unverified
VER000066,APP007408,2022-10-20,33519.0,32554.0,8.3,Salaried,Retail,4.4,1,1,0,ITR,Verified
VER000067,APP000996,2024-05-23,19388.0,20154.0,5.0,Business Owner,Telecom,-1.7,0,1,1,Payslip,Verified
VER000068,APP004042,2022-08-06,37758.0,27396.0,-9.5,Salaried,FMCG,13.5,1,1,0,GST Portal,Unverified
VER000069,APP003039,2022-08-07,137862.0,155400.0,9.0,Salaried,Education,18.8,1,0,0,ITR,Verified
VER000070,APP012909,2022-08-07,15229.0,15035.0,-3.2,Self-Employed,IT Company,14.3,0,0,1,Payslip,Partial
VER000071,APP000462,2022-10-31,68728.0,51185.0,-8.3,Business Owner,Manufacturing,16.3,0,0,1,Payslip,Failed
VER000072,APP008315,2023-09-04,34006.0,26709.0,-1.2,Salaried,Government,17.5,1,1,0,ITR,Failed
VER000073,APP003719,2022-01-24,55283.0,48248.0,1.3,Salaried,IT Company,14.3,1,0,0,Bank Statement,Verified
VER000074,APP006783,2023-07-18,117582.0,121337.0,-3.7,Salaried,Telecom,8.9,1,1,0,ITR,Unverified
VER000075,APP011863,2022-10-11,80178.0,72381.0,-3.8,Salaried,Telecom,3.1,1,1,0,Payslip,Unverified
VER000076,APP011025,2023-05-06,36558.0,35320.0,6.5,Retired,Healthcare,11.7,0,0,0,ITR,Verified
VER000077,APP007087,2024-03-23,61447.0,54301.0,7.3,Business Owner,Startup,13.8,0,1,0,Payslip,Verified
VER000078,APP009180,2024-06-10,81442.0,73047.0,8.8,Unemployed,PSU Bank,4.3,0,1,0,Employer Letter,Verified
VER000079,APP005037,2023-09-02,14311.0,14148.0,-6.2,Business Owner,Education,2.2,0,0,1,Payslip,Verified
VER000080,APP013487,2023-08-28,39373.0,32751.0,-4.2,Salaried,PSU Bank,1.8,1,1,0,Bank Statement,Unverified
VER000081,APP000569,2024-04-14,20802.0,18072.0,2.5,Business Owner,Startup,3.3,0,1,1,ITR,Failed
VER000082,APP007264,2024-04-03,60410.0,63690.0,-1.2,Salaried,Startup,1.3,1,0,0,Payslip,Failed
VER000083,APP001553,2022-09-19,59176.0,58396.0,-5.2,Salaried,Telecom,14.0,1,1,0,ITR,Verified
VER000084,APP007486,2023-04-18,50829.0,43301.0,0.9,Salaried,Education,19.8,1,1,0,Payslip,Verified
VER000085,APP005379,2022-11-05,71124.0,66141.0,-8.7,Salaried,Manufacturing,7.6,1,0,0,Bank Statement,Verified
VER000086,APP012682,2022-10-08,25524.0,17931.0,-11.9,Salaried,Education,22.8,1,0,0,Payslip,Verified
VER000087,APP006142,2022-06-30,322257.0,367247.0,4.3,Salaried,PSU Bank,19.7,1,1,0,Payslip,Verified
VER000088,APP008064,2022-07-01,99695.0,76029.0,-4.5,Self-Employed,Government,24.7,0,1,1,Payslip,Verified
VER000089,APP014888,2022-04-20,43213.0,32401.0,-4.9,Salaried,Healthcare,17.8,1,0,0,Bank Statement,Verified
VER000090,APP003236,2022-07-22,24276.0,27598.0,2.5,Salaried,Telecom,1.8,1,1,0,GST Portal,Verified
VER000091,APP003652,2022-04-10,29726.0,30415.0,3.7,Salaried,FMCG,24.8,1,0,0,Payslip,Verified
VER000092,APP000998,2023-01-31,67037.0,52947.0,0.8,Salaried,Government,5.5,1,0,0,Bank Statement,Verified
VER000093,APP013680,2022-03-23,74525.0,51112.0,-14.4,Salaried,PSU Bank,17.3,1,0,0,ITR,Verified
VER000094,APP001615,2023-05-13,74216.0,54919.0,-12.7,Self-Employed,Education,21.0,0,1,1,Payslip,Verified
VER000095,APP004287,2023-07-20,76005.0,63535.0,-5.8,Salaried,Startup,2.1,1,1,0,Bank Statement,Verified
VER000096,APP011876,2023-05-18,21140.0,21038.0,-5.7,Self-Employed,Healthcare,16.2,0,0,1,Payslip,Verified
VER000097,APP013617,2022-12-17,32918.0,28956.0,8.5,Retired,Government,14.0,0,1,0,Bank Statement,Failed
VER000098,APP011403,2023-12-21,89306.0,-74618.0,-0.1,Retired,Telecom,6.2,0,1,0,Bank Statement,Verified
VER000099,APP004192,2024-02-22,590351.0,405324.0,-14.1,Salaried,Government,8.8,1,1,0,Bank Statement,Verified
VER000100,APP007707,2022-01-21,440836.0,390305.0,-10.3,Self-Employed,Startup,6.9,0,0,1,Bank Statement,Verified
VER000101,APP014443,2022-03-24,47999.0,35955.0,-11.9,Salaried,Telecom,3.8,1,1,0,ITR,Partial
VER000102,APP006727,2022-07-15,35430.0,31014.0,-5.9,Self-Employed,Telecom,2.5,0,0,1,GST Portal,Partial
VER000103,APP000567,2024-05-23,25982.0,28118.0,4.5,Salaried,Telecom,4.5,1,1,0,ITR,Verified
VER000104,APP006466,2022-07-22,21935.0,16524.0,-8.9,Salaried,Manufacturing,1.1,1,0,0,ITR,Partial
VER000105,APP011470,2023-03-19,434239.0,405282.0,-8.5,Business Owner,Startup,1.2,0,0,1,GST Portal,Verified
VER000106,APP007183,2024-06-07,87309.0,80509.0,3.5,Salaried,IT Company,14.3,1,1,0,Payslip,Verified
VER000107,APP001892,2023-06-30,171195.0,171921.0,8.9,Salaried,Telecom,12.5,1,0,0,Bank Statement,Partial
VER000108,APP000011,2024-06-07,36754.0,35927.0,5.9,Salaried,Telecom,12.5,1,0,0,Bank Statement,Verified
VER000109,APP002496,2024-06-10,89844.0,74714.0,-2.2,Salaried,Education,-0.1,1,0,0,GST Portal,Unverified
VER000110,APP014071,2023-09-13,193735.0,178700.0,-13.4,Salaried,IT Company,11.3,1,1,0,Bank Statement,Verified
VER000111,APP006217,2024-06-01,20947.0,19110.0,-11.2,Freelancer,Startup,15.7,0,0,0,ITR,Verified
VER000112,APP005308,2022-01-27,24490.0,25278.0,5.5,Business Owner,Startup,1.0,0,1,1,Payslip,Verified
VER000113,APP006025,2023-06-19,79110.0,85826.0,-2.0,Self-Employed,Startup,9.2,0,0,1,Bank Statement,Verified
VER000114,APP001644,2022-06-29,24826.0,24276.0,4.2,Business Owner,Healthcare,19.9,0,1,1,ITR,Partial
VER000115,APP007521,2022-08-30,566401.0,470654.0,6.4,Salaried,Retail,11.4,1,0,0,Bank Statement,Verified
VER000116,APP007494,2023-08-10,52545.0,46665.0,-12.0,Freelancer,Government,21.3,0,1,0,ITR,Verified
VER000117,APP014561,2022-04-02,96737.0,79962.0,6.6,Salaried,Retail,7.9,1,1,0,Payslip,Unverified
VER000118,APP010779,2023-10-27,519707.0,-519132.0,7.9,Salaried,Telecom,17.1,1,0,0,Bank Statement,Verified
VER000119,APP013914,2023-11-20,42824.0,41267.0,9.0,Salaried,PSU Bank,13.0,1,1,0,Payslip,Unverified
VER000120,APP014530,2022-01-01,24250.0,26213.0,1.1,Salaried,IT Company,23.6,1,1,0,Payslip,Unverified
VER000121,APP012795,2023-02-08,29992.0,23803.0,-9.5,Self-Employed,Manufacturing,11.3,0,1,1,ITR,Partial
VER000122,APP005647,2024-05-23,79528.0,66052.0,5.6,Business Owner,IT Company,10.7,0,0,1,Bank Statement,Verified
VER000123,APP004601,2023-10-17,71590.0,82687.0,7.6,Salaried,Retail,18.1,1,1,0,Payslip,Unverified
VER000124,APP006005,2023-05-29,68690.0,74433.0,-1.8,Retired,Retail,19.0,0,1,0,ITR,Failed
VER000125,APP004323,2023-11-16,57477.0,49989.0,-1.7,Salaried,PSU Bank,16.2,1,1,0,Payslip,Verified
VER000126,APP014878,2023-07-15,106009.0,81404.0,-14.1,Salaried,Healthcare,5.1,0,0,0,Bank Statement,Verified
VER000127,APP011491,2023-04-07,63714.0,59829.0,-3.4,Salaried,PSU Bank,10.5,0,0,0,Payslip,Verified
VER000128,APP006465,2024-03-15,50061.0,52388.0,-1.7,Self-Employed,Retail,24.2,0,1,1,Bank Statement,Verified
VER000129,APP013305,2024-03-26,27410.0,27119.0,6.3,Salaried,Startup,18.0,1,1,0,Employer Letter,Verified
VER000130,APP000710,2024-03-16,19914.0,17477.0,-10.8,Self-Employed,FMCG,22.4,0,1,1,Payslip,Unverified
VER000131,APP005633,2023-01-21,20574.0,16619.0,-10.6,Unemployed,Manufacturing,21.1,0,1,0,Bank Statement,Verified
VER000132,APP001251,2022-12-25,23893.0,22997.0,2.7,Retired,Government,10.8,0,1,0,Bank Statement,Partial
VER000133,APP013988,2023-11-09,62801.0,52695.0,-7.8,Salaried,PSU Bank,20.9,1,1,0,Payslip,Verified
VER000134,APP006843,2024-06-06,22154.0,23935.0,0.5,Salaried,Retail,18.3,1,1,0,Bank Statement,Unverified
VER000135,APP003304,2024-04-05,59747.0,52821.0,0.1,Salaried,Healthcare,6.5,1,0,0,Payslip,Verified
VER000136,APP009533,2022-01-19,142057.0,142217.0,-5.0,Business Owner,IT Company,19.8,0,1,0,Bank Statement,Unverified
VER000137,APP012828,2023-12-05,51967.0,46990.0,-4.4,Business Owner,Telecom,9.6,0,1,1,Payslip,Verified
VER000138,APP001873,2023-01-29,19879.0,18587.0,-11.6,Business Owner,Education,11.6,0,1,0,ITR,Verified
VER000139,APP013566,2022-07-20,81136.0,59942.0,-11.7,Self-Employed,PSU Bank,11.4,0,0,1,ITR,Partial
VER000140,APP004521,2022-11-02,44690.0,45315.0,-7.7,Salaried,Education,9.1,1,0,0,Bank Statement,Failed
VER000141,APP013494,2024-04-21,117808.0,125602.0,1.3,Retired,Manufacturing,24.8,0,1,0,Payslip,Verified
VER000142,APP001236,2023-07-01,510792.0,432537.0,-1.5,Freelancer,PSU Bank,8.9,0,1,0,Payslip,Verified
VER000143,APP004575,2022-01-18,36342.0,39344.0,4.3,Salaried,FMCG,21.5,1,0,0,GST Portal,Verified
VER000144,APP009522,2022-03-01,86105.0,66161.0,-8.5,Unemployed,Retail,19.4,0,1,0,Bank Statement,Partial
VER000145,APP009793,2022-01-14,86794.0,85780.0,9.1,Business Owner,Manufacturing,4.0,0,0,1,Employer Letter,Verified
VER000146,APP005406,2023-10-30,45608.0,49909.0,2.6,Self-Employed,Retail,21.8,0,1,1,Payslip,Verified
VER000147,APP001510,2023-11-20,187733.0,193517.0,3.5,Self-Employed,PSU Bank,24.9,0,1,1,Bank Statement,Unverified
VER000148,APP010755,2023-06-11,47274.0,46584.0,3.7,Salaried,FMCG,23.8,1,0,0,GST Portal,Verified
VER000149,APP012765,2024-05-29,69582.0,57423.0,-12.4,Business Owner,IT Company,2.0,0,0,1,Payslip,Verified
VER000150,APP000642,2023-07-31,75215.0,75030.0,7.6,Self-Employed,Retail,1.9,0,1,1,Payslip,Verified
VER000151,APP005566,2022-04-10,68406.0,59250.0,8.3,Salaried,Government,23.4,1,1,0,Bank Statement,Failed
VER000152,APP013564,2022-08-17,63060.0,54421.0,3.1,Salaried,Retail,9.7,1,0,0,Payslip,Verified
VER000153,APP000787,2022-08-30,27475.0,23238.0,-4.3,Self-Employed,Education,24.2,0,0,1,Bank Statement,Partial
VER000154,APP001060,2022-06-11,59269.0,52643.0,-0.5,Salaried,FMCG,5.1,1,1,0,Bank Statement,Unverified
VER000155,APP004728,2022-08-17,82286.0,83700.0,7.3,Salaried,Retail,17.7,1,1,0,ITR,Verified
VER000156,APP011613,2023-06-20,173972.0,137454.0,1.7,Business Owner,PSU Bank,10.9,0,0,1,Payslip,Verified
VER000157,APP004216,2023-03-02,185899.0,180504.0,281.8,Salaried,Government,10.9,0,1,0,ITR,Verified
VER000158,APP006288,2024-04-15,79782.0,55483.0,-13.3,Self-Employed,Startup,1.4,0,1,1,Bank Statement,Partial
VER000159,APP006437,2022-08-03,280904.0,220734.0,-2.1,Self-Employed,Healthcare,21.7,0,1,0,Employer Letter,Verified
VER000160,APP004831,2022-03-24,74412.0,60584.0,-12.2,Salaried,PSU Bank,5.1,1,0,0,Payslip,Verified
VER000161,APP012901,2023-03-01,28498.0,22260.0,-8.3,Self-Employed,Government,8.4,0,1,1,ITR,Failed
VER000162,APP012295,2024-06-07,31596.0,24309.0,-14.1,Self-Employed,PSU Bank,12.5,0,0,1,Payslip,Verified
VER000163,APP007178,2023-02-09,29271.0,22828.0,-2.9,Self-Employed,Education,2.1,0,0,1,Payslip,Verified
VER000164,APP003550,2023-03-29,91717.0,82701.0,6.3,Salaried,Manufacturing,6.9,1,1,0,GST Portal,Unverified
VER000165,APP000521,2022-05-23,68173.0,57009.0,-0.9,Self-Employed,Education,11.8,0,1,1,Bank Statement,Verified
VER000166,APP008044,2022-12-25,23150.0,26447.0,194.0,Salaried,Startup,10.2,1,1,0,ITR,Verified
VER000167,APP014661,2022-04-03,110064.0,109898.0,2.5,Business Owner,Startup,4.6,0,1,1,GST Portal,Verified
VER000168,APP003996,2023-05-10,43136.0,38033.0,-5.8,Business Owner,Government,1.2,0,1,1,Bank Statement,Verified
VER000169,APP014953,2022-10-30,32472.0,32182.0,7.8,Unemployed,FMCG,22.5,0,0,0,ITR,Verified
VER000170,APP000974,2022-09-06,502448.0,408548.0,-0.6,Salaried,IT Company,20.5,1,0,0,Payslip,Unverified
VER000171,APP012885,2024-03-10,34921.0,26296.0,-14.7,Salaried,Telecom,19.8,1,1,0,ITR,Verified
VER000172,APP011392,2023-08-30,29777.0,24167.0,-0.1,Salaried,Government,7.1,1,1,0,Employer Letter,Verified
VER000173,APP002072,2023-02-21,536556.0,420807.0,-2.8,Unemployed,Retail,4.9,0,0,0,Payslip,Verified
VER000174,APP007255,2022-04-20,50907.0,39644.0,-11.9,Self-Employed,PSU Bank,13.6,0,0,1,Employer Letter,Verified
VER000175,APP006838,2024-02-14,68410.0,68814.0,4.2,Salaried,Healthcare,6.0,1,1,0,ITR,Failed
VER000176,APP005896,2023-05-16,91048.0,75382.0,6.3,Salaried,Retail,23.5,1,1,0,Bank Statement,Failed
VER000177,APP014204,2023-05-04,28025.0,24537.0,-10.7,Freelancer,Telecom,19.9,0,1,0,ITR,Verified
VER000178,APP005121,2022-03-05,64223.0,69791.0,9.8,Salaried,Healthcare,4.4,1,1,0,Bank Statement,Verified
VER000179,APP010972,2022-12-25,162889.0,141908.0,-1.3,Salaried,Government,6.1,1,1,0,Bank Statement,Verified
VER000180,APP004043,2022-02-11,33823.0,35449.0,4.2,Retired,FMCG,23.9,0,0,0,Bank Statement,Verified
VER000181,APP000396,2023-09-01,92723.0,72829.0,1.7,Self-Employed,Telecom,17.7,0,1,1,Payslip,Verified
VER000182,APP002595,2023-01-01,30503.0,28792.0,3.8,Salaried,Manufacturing,14.1,1,1,0,Employer Letter,Unverified
VER000183,APP001851,2023-06-27,16201.0,15749.0,-9.1,Business Owner,Education,21.0,0,1,1,Payslip,Verified
VER000184,APP003635,2023-10-12,59820.0,56310.0,4.1,Salaried,PSU Bank,2.3,1,1,0,ITR,Verified
VER000185,APP013337,2022-12-02,206554.0,169862.0,-1.1,Salaried,IT Company,23.7,1,1,0,Payslip,Verified
VER000186,APP012839,2024-05-29,31323.0,32456.0,5.3,Salaried,IT Company,22.3,1,1,0,Bank Statement,Unverified
VER000187,APP009780,2023-09-07,44671.0,45008.0,4.2,Salaried,Education,19.5,1,1,0,Payslip,Partial
VER000188,APP010427,2023-06-03,23620.0,0.0,4.5,Salaried,Government,17.2,1,1,0,Payslip,Verified
VER000189,APP001700,2023-02-27,20209.0,16434.0,1.0,Freelancer,Telecom,12.3,0,1,0,ITR,Failed
VER000190,APP004335,2022-07-31,40994.0,37166.0,-10.6,Salaried,Manufacturing,8.9,1,1,0,Payslip,Verified
VER000191,APP004893,2022-07-25,41149.0,30822.0,-11.1,Retired,IT Company,16.9,0,1,0,Employer Letter,Unverified
VER000192,APP005318,2023-06-12,49511.0,41503.0,-10.4,Unemployed,Retail,15.0,0,1,0,Payslip,Verified
VER000193,APP006417,2022-09-09,107561.0,88909.0,0.5,Self-Employed,FMCG,3.4,0,1,0,Bank Statement,Verified
VER000194,APP003203,2023-04-22,210072.0,169873.0,1.0,Salaried,Government,1.0,1,1,0,Employer Letter,Verified
VER000195,APP005918,2024-01-31,17781.0,16018.0,-7.7,Business Owner,PSU Bank,14.8,0,1,0,Payslip,Verified
VER000196,APP014859,2023-03-04,57514.0,55342.0,-0.9,Salaried,Telecom,17.6,1,1,0,Bank Statement,Verified
VER000197,APP011526,2023-09-20,29425.0,20432.0,-13.7,Salaried,Telecom,19.1,1,1,0,Bank Statement,Verified
VER000198,APP011323,2023-05-04,105968.0,79817.0,-10.4,Self-Employed,Startup,20.7,0,1,0,ITR,Verified
VER000199,APP003796,2023-09-25,27910.0,18679.0,-14.8,Business Owner,Government,15.7,0,0,1,ITR,Unverified
VER000200,APP006209,2022-02-26,40795.0,39292.0,-1.1,Salaried,Retail,12.3,1,1,0,Payslip,Verified
VER000201,APP002731,2023-12-30,43442.0,40053.0,2.5,Business Owner,Telecom,2.5,0,0,1,Payslip,Failed
VER000202,APP014620,2023-09-10,25207.0,22495.0,106.4,Self-Employed,Manufacturing,22.1,0,1,1,Payslip,Verified
VER000203,APP012883,2023-01-26,27907.0,28355.0,2.7,Salaried,FMCG,15.7,1,0,0,Payslip,Verified
VER000204,APP005094,2022-01-11,99204.0,104838.0,6.0,Unemployed,FMCG,14.8,0,0,0,Payslip,Verified
VER000205,APP007941,2023-09-14,21947.0,18608.0,7.1,Salaried,PSU Bank,11.9,1,1,0,Payslip,Partial
VER000206,APP003481,2022-07-24,71835.0,63637.0,-5.8,Salaried,IT Company,15.7,0,1,0,Bank Statement,Verified
VER000207,APP012182,2024-01-01,32820.0,30179.0,-4.3,Freelancer,Retail,10.4,0,1,0,ITR,Failed
VER000208,APP001260,2023-01-14,18391.0,17057.0,-12.0,Salaried,Government,11.6,1,0,0,Bank Statement,Verified
VER000209,APP009665,2022-08-15,71104.0,58753.0,283.5,Salaried,Government,20.6,1,1,0,Payslip,Verified
VER000210,APP002317,2024-05-28,179980.0,162268.0,6.3,Self-Employed,IT Company,8.4,0,1,1,ITR,Unverified
VER000211,APP003623,2023-07-31,22723.0,21195.0,5.9,Salaried,Government,-1.7,1,0,0,Bank Statement,Failed
VER000212,APP013289,2024-06-28,22300.0,20228.0,-15.0,Salaried,IT Company,10.0,1,1,0,ITR,Verified
VER000213,APP013644,2023-08-27,37120.0,32893.0,9.0,Self-Employed,Manufacturing,24.2,0,1,1,Bank Statement,Verified
VER000214,APP013356,2023-04-30,16592.0,14464.0,-13.8,Self-Employed,PSU Bank,5.7,0,1,1,Payslip,Verified
VER000215,APP004661,2023-10-06,65944.0,57872.0,2.4,Self-Employed,Startup,23.7,0,0,1,Payslip,verified
VER000216,APP005639,2022-07-03,34751.0,32852.0,0.4,Self-Employed,Telecom,8.2,0,0,1,Payslip,Verified
VER000217,APP006296,2022-02-13,93177.0,84490.0,8.3,Salaried,Manufacturing,14.6,1,1,0,Payslip,Verified
VER000218,APP004121,2023-12-23,75553.0,64816.0,8.0,Salaried,Telecom,13.5,1,1,0,Employer Letter,Partial
VER000219,APP011214,2024-06-26,221245.0,215419.0,9.6,Salaried,Startup,9.2,0,0,0,Bank Statement,Unverified
VER000220,APP004686,2022-12-25,165081.0,148432.0,-9.5,Self-Employed,Government,16.1,0,1,1,GST Portal,Verified
VER000221,APP000660,2023-08-19,57129.0,52914.0,8.8,Self-Employed,PSU Bank,17.9,0,1,1,Employer Letter,Unverified
VER000222,APP001478,2024-01-28,31727.0,27901.0,-1.0,Salaried,FMCG,20.3,1,1,0,ITR,Unverified
VER000223,APP006501,2023-04-12,33321.0,30530.0,-0.6,Salaried,Startup,7.9,1,1,0,Payslip,Verified
