bureau_record_id,applicant_id,bureau_name,pull_date,credit_score,total_accounts,active_accounts,payment_history_pct,credit_utilisation_pct,derogatory_marks,hard_inquiries_6m,oldest_account_yrs,total_credit_limit,outstanding_balance,missed_payments_12m
BUR0000092,APP000101,CRIF,2024-04-03,579,5,3,91.1,28.6,1,6,4.8,857000.0,79800.0,0
BUR0000093,APP000102,Experian,2022-11-28,648,7,8,75.8,41.1,0,7,4.8,706000.0,208700.0,0
BUR0000094,APP000103,Experian,2024-01-31,884,13,8,63.4,74.5,1,8,10.7,140000.0,93100.0,0
BUR0000095,APP000104,Equifax,2024-01-14,638,19,8,76.2,61.1,0,7,14.4,562000.0,226000.0,2
BUR0000096,APP000108,Equifax,2022-11-24,805,2,6,80.3,30.3,1,1,13.7,1580000.0,432200.0,0
BUR0000097,APP000108,CIBIL,2023-06-26,799,11,4,93.8,18.0,0,6,13.2,786000.0,459300.0,0
BUR0000098,APP000111,Equifax,2023-10-26,501,15,9,88.5,47.6,1,5,13.9,1083000.0,27700.0,1
BUR0000099,APP000112,Equifax,2023-01-01,822,14,3,99.5,31.9,0,7,1.5,1468000.0,199700.0,0
BUR0000100,APP000112,CRIF,2023-05-28,827,18,2,90.0,35.4,0,3,10.6,84000.0,446300.0,0
BUR0000101,APP000112,Equifax,2023-10-04,816,6,5,89.6,83.0,0,3,9.7,1158000.0,103300.0,3
BUR0000102,APP000113,Experian,2023-01-21,876,5,3,93.5,7.0,0,7,13.6,1920000.0,344300.0,0
BUR0000103,APP000113,Equifax,2023-07-12,865,6,1,83.8,76.0,0,7,3.7,514000.0,204100.0,1
BUR0000104,APP000114,Equifax,2022-02-24,782,9,10,62.3,68.2,2,4,2.2,934000.0,437900.0,2
BUR0000105,APP000115,CRIF,2024-05-26,567,2,8,61.8,53.4,1,4,12.2,449000.0,210900.0,1
BUR0000106,APP000116,CIBIL,2022-03-12,405,2,5,67.4,36.7,0,3,5.3,335000.0,265800.0,1
BUR0000107,APP000116,Experian,2022-06-13,396,15,2,64.1,61.3,0,4,15.5,434000.0,266000.0,1
BUR0000108,APP000116,CRIF,2022-12-09,416,5,0,64.0,17.0,1,4,19.2,1431000.0,73500.0,0
BUR0000109,APP000117,CIBIL,2022-01-25,671,15,1,99.7,56.0,0,4,0.6,889000.0,496400.0,0
BUR0000110,APP000117,CRIF,2022-09-01,653,15,8,76.1,94.5,1,0,12.5,606000.0,359600.0,0
BUR0000111,APP000117,CRIF,2023-01-17,624,19,0,96.9,6.4,0,2,5.0,1832000.0,227700.0,1
BUR0000112,APP000118,Experian,2022-06-28,802,3,0,84.6,57.4,1,0,19.1,1020000.0,453000.0,1
BUR0000113,APP000119,Experian,2022-09-17,794,11,0,73.0,1.9,0,3,17.2,309000.0,258800.0,0
BUR0000114,APP000120,Experian,2023-04-14,477,14,6,75.2,83.9,0,8,7.3,1139000.0,125100.0,0
BUR0000115,APP000120,Equifax,2024-04-08,485,13,10,99.6,70.9,0,2,12.6,1034000.0,337800.0,0
BUR0000116,APP000121,Experian,2024-05-29,567,1,3,83.9,56.8,2,7,19.3,809000.0,446800.0,2
BUR0000117,APP000122,CRIF,2022-03-31,542,18,7,67.0,72.6,0,6,18.6,645000.0,220400.0,3
BUR0000118,APP000123,CIBIL,2024-03-10,543,10,10,88.6,55.3,2,8,11.1,1015000.0,368400.0,0
BUR0000119,APP000124,CIBIL,2022-03-23,530,5,3,71.8,48.4,0,1,3.3,910000.0,134900.0,4
BUR0000120,APP000124,Equifax,2023-03-17,556,16,4,90.6,78.7,1,1,8.1,307000.0,417400.0,0
BUR0000121,APP000125,Experian,2024-02-12,480,16,2,72.1,61.4,2,7,1.9,1377000.0,47700.0,0
BUR0000122,APP000128,CIBIL,2022-05-04,770,11,4,71.9,72.8,2,7,14.0,1849000.0,46800.0,1
BUR0000123,APP000128,CRIF,2022-07-21,761,17,1,82.2,14.9,0,6,11.2,902000.0,926091.9936882041,1
BUR0000124,APP000128,CIBIL,2023-05-06,731,7,4,79.8,44.3,0,3,16.0,316000.0,43500.0,5
BUR0000125,APP000128,CIBIL,2024-04-13,708,20,9,74.9,17.2,0,4,19.3,1747000.0,347500.0,0
BUR0000126,APP000129,CIBIL,2022-02-14,632,2,6,89.8,10.3,2,1,1.5,1653000.0,161000.0,0
BUR0000127,APP000131,Experian,2022-09-08,400,16,6,73.2,95.0,0,2,1.5,451000.0,192100.0,0
BUR0000128,APP000131,CRIF,2023-05-27,402,17,4,60.0,90.3,0,1,1.6,1372000.0,463200.0,2
BUR0000129,APP000131,Experian,2023-11-18,407,15,8,88.8,11.8,0,2,0.7,410000.0,421300.0,0
BUR0000130,APP000132,Equifax,2024-03-01,706,8,6,90.3,5.4,0,5,9.6,674000.0,340000.0,0
BUR0000131,APP000133,CRIF,2023-02-06,691,18,7,99.5,78.4,1,8,4.0,1388000.0,112700.0,2
BUR0000132,APP000133,Equifax,2023-09-04,661,3,8,78.8,84.6,0,3,4.2,453000.0,308700.0,2
BUR0000133,APP000134,Equifax,2024-04-19,789,1,1,81.3,86.7,1,5,4.6,1760000.0,430600.0,0
BUR0000134,APP000135,Equifax,2024-05-14,841,10,10,91.1,78.7,2,3,6.8,377000.0,42700.0,3
BUR0000135,APP000136,Equifax,2023-04-02,528,15,1,86.1,89.1,0,7,7.8,104000.0,26200.0,2
BUR0000136,APP000136,CRIF,2024-03-17,538,15,8,78.5,77.1,0,6,7.3,1093000.0,351900.0,0
BUR0000137,APP000137,Experian,2023-08-19,664,7,8,80.6,77.6,1,3,4.9,1433000.0,489400.0,0
BUR0000138,APP000139,CRIF,2024-03-05,809,6,0,71.6,15.7,2,3,17.8,1531000.0,294500.0,0
BUR0000139,APP000141,Equifax,2023-10-26,805,2,1,60.9,2.3,0,6,1.9,391000.0,169200.0,0
BUR0000140,APP000144,CRIF,2022-07-02,768,12,5,74.5,39.4,0,4,2.5,616000.0,216600.0,0
BUR0000141,APP000145,Equifax,2023-11-03,742,16,0,61.8,73.0,0,0,17.8,205000.0,52400.0,4
BUR0000142,APP000146,CRIF,2023-04-21,778,3,3,98.7,0.2,1,3,3.7,1746000.0,284900.0,1
BUR0000143,APP000147,Equifax,2023-03-29,487,9,10,94.1,30.8,0,0,12.5,1725000.0,217400.0,0
BUR0000144,APP000148,CIBIL,2023-12-02,826,18,5,69.6,58.2,2,6,9.2,107000.0,421200.0,1
BUR0000145,APP000148,CRIF,2024-02-19,823,20,7,63.6,34.0,2,2,9.8,1088000.0,479700.0,1
BUR0000146,APP000149,Experian,2023-05-22,791,5,3,81.3,82.9,0,1,16.0,414000.0,358900.0,1
BUR0000147,APP000150,CRIF,2023-04-01,763,3,6,66.7,41.1,1,4,19.5,852000.0,152800.0,0
BUR0000148,APP000150,CRIF,2023-08-30,739,17,7,92.7,2.4,0,8,6.4,471000.0,395100.0,2
BUR0000149,APP000151,CIBIL,2023-02-28,468,7,7,95.1,84.1,0,5,7.5,1785000.0,457800.0,3
BUR0000150,APP000151,CIBIL,2023-05-22,493,8,0,80.3,10.5,1,5,19.7,301000.0,412800.0,0
BUR0000151,APP000151,CIBIL,2023-07-21,509,2,0,95.4,91.0,0,8,9.4,381000.0,203200.0,0
BUR0000152,APP000152,CRIF,2022-06-22,407,4,3,73.1,7.0,0,2,12.0,1638000.0,236300.0,0
BUR0000153,APP000152,Experian,2023-01-25,433,8,10,88.2,93.6,0,5,7.7,404000.0,232100.0,1
BUR0000154,APP000154,Experian,2023-12-05,890,11,7,89.8,27.4,1,7,18.5,563000.0,373600.0,0
BUR0000155,APP000155,Experian,2022-06-21,580,2,10,66.0,51.2,0,2,18.3,1159000.0,358400.0,0
BUR0000156,APP000155,CIBIL,2022-09-11,579,18,10,97.9,37.0,1,3,7.1,1371000.0,191400.0,2
BUR0000157,APP000156,CRIF,2022-06-20,505,13,5,74.0,73.7,0,0,1.7,380000.0,476400.0,0
BUR0000158,APP000156,Equifax,2022-08-30,524,4,5,80.4,86.3,1,0,8.1,443000.0,5500.0,0
BUR0000159,APP000156,CIBIL ,2023-06-21,547,5,5,119.5,10.7,0,2,6.8,1831000.0,316200.0,2
BUR0000160,APP000157,CIBIL,2024-04-22,424,3,0,97.2,9.3,0,5,3.5,790000.0,443000.0,0
BUR0000161,APP000158,CIBIL,2022-08-25,820,1,4,72.5,238.9,3,6,5.5,826000.0,238600.0,1
BUR0000162,APP000158,CRIF,2023-07-13,845,16,5,92.7,82.9,0,7,2.7,1139000.0,15900.0,0
BUR0000163,APP000158,Experian,2023-11-16,821,10,2,81.6,52.0,0,5,15.3,1233000.0,170700.0,0
BUR0000164,APP000161,CRIF,2023-08-17,555,1,9,94.4,34.0,1,1,15.1,1996000.0,480200.0,1
BUR0000165,APP000162,CRIF,2022-06-14,652,19,0,65.4,8.2,0,1,19.8,1772000.0,444900.0,1
BUR0000166,APP000163,CIBIL,2023-02-01,543,4,3,75.2,68.0,0,4,11.6,1618000.0,187400.0,3
BUR0000167,APP000163,Experian,2023-08-09,523,11,10,62.6,69.5,1,4,18.0,432000.0,168000.0,0
BUR0000168,APP000163,CIBIL,2023-10-13,496,15,8,96.5,32.3,1,1,17.1,1702000.0,424000.0,0
BUR0000169,APP000166,Experian,2024-03-02,645,1,2,98.8,74.3,2,5,13.6,318000.0,332300.0,0
BUR0000170,APP000167,CRIF,2022-02-04,1100,15,3,83.3,8.1,0,5,18.1,1045000.0,335200.0,0
BUR0000171,APP000167,CIBIL,2022-05-08,770,19,3,76.3,2.9,0,8,7.2,1957000.0,193300.0,0
BUR0000172,APP000167,CIBIL,2022-11-29,771,2,3,66.9,1.7,1,3,19.7,1257000.0,135100.0,0
BUR0000173,APP000167,CIBIL,2023-08-11,745,11,0,65.8,86.5,1,7,14.7,1558000.0,177700.0,0
BUR0000174,APP000168,Equifax,2023-10-27,671,6,5,75.6,91.1,2,0,20.0,997000.0,132300.0,2
BUR0000175,APP000170,Equifax,2023-07-12,798,16,10,73.5,43.6,3,5,16.5,470000.0,280600.0,2
BUR0000176,APP000171,CIBIL,2024-03-31,455,4,4,79.1,29.6,1,6,12.0,1725000.0,140400.0,2
BUR0000177,APP000172,Experian,2023-04-18,778,19,5,93.1,82.9,2,5,14.2,323000.0,395000.0,0
BUR0000178,APP000172,CIBIL,2023-06-18,765,11,1,87.1,188.4,1,3,5.0,305000.0,243500.0,0
BUR0000179,APP000172,Equifax,2024-06-01,775,15,10,91.2,82.8,0,5,19.4,665000.0,466800.0,2
BUR0000180,APP000173,Equifax,2023-03-21,608,18,1,94.6,62.4,4,1,10.2,1284000.0,199900.0,0
BUR0000181,APP000173,Equifax,2024-03-20,578,18,9,81.0,87.6,1,3,6.6,666000.0,73700.0,0
BUR0000182,APP000176,CIBIL,2024-02-22,493,16,8,84.0,28.4,2,8,7.4,139000.0,350500.0,1
BUR0000183,APP000177,Experian,2023-07-26,458,13,2,83.4,23.7,1,1,17.5,910000.0,248900.0,1
BUR0000184,APP000177,CIBIL,2024-02-07,448,7,7,94.9,84.2,4,5,14.0,786000.0,418900.0,0
BUR0000185,APP000179,CRIF,2022-07-09,791,8,0,77.6,48.9,0,7,13.0,1225000.0,390800.0,1
BUR0000186,APP000180,CRIF,2022-04-28,444,12,5,68.9,55.3,0,4,12.4,787000.0,388800.0,0
BUR0000187,APP000180,Equifax,,462,13,10,68.4,38.8,0,8,6.5,1067000.0,437900.0,3
BUR0000188,APP000181,CIBIL,2022-11-10,667,5,10,80.5,69.3,0,5,12.0,500000.0,10000.0,0
BUR0000189,APP000182,Equifax,2023-01-01,9999,8,4,92.1,74.1,0,7,13.0,707000.0,437800.0,1
BUR0000190,APP000182,Equifax,2023-03-15,829,13,5,71.9,64.8,0,2,4.0,1005000.0,324500.0,3
BUR0000191,APP000182,CIBIL,2024-03-08,848,8,3,70.8,27.6,1,4,7.8,1435000.0,132600.0,0
BUR0000192,APP000183,Experian,2022-04-25,613,5,4,86.6,58.5,0,0,5.4,1403000.0,375500.0,0
BUR0000193,APP000183,Experian,2022-08-22,584,8,10,61.5,9.7,0,2,2.9,1000000.0,385200.0,2
BUR0000194,APP000184,CRIF,2022-12-09,497,6,9,62.7,62.5,0,3,4.0,83000.0,134300.0,0
BUR0000195,APP000184,CIBIL,2023-05-01,513,18,3,86.5,92.9,1,6,19.4,229000.0,59400.0,2
BUR0000196,APP000185,CIBIL,2023-02-02,588,4,4,97.4,78.6,0,2,14.9,968000.0,392900.0,0
BUR0000197,APP000185,CIBIL,2023-05-15,568,10,6,97.9,32.1,1,4,14.9,1626000.0,55800.0,0
BUR0000198,APP000185,Equifax,2024-05-10,592,17,6,60.1,16.9,0,7,9.9,764000.0,278100.0,0
BUR0000199,APP000186,CIBIL,2022-10-19,565,18,0,65.2,7.2,3,4,3.5,1694000.0,372300.0,5
BUR0000200,APP000186,CIBIL,2023-04-06,545,19,2,66.9,69.7,0,2,13.8,448000.0,71700.0,0
BUR0000201,APP000188,Experian,2022-11-16,430,13,0,82.3,32.9,1,8,12.9,1297000.0,380900.0,2
BUR0000202,APP000188,CRIF,2023-09-15,451,3,10,87.2,6.2,0,8,18.3,1201000.0,197600.0,1
BUR0000203,APP000188,CIBIL,2024-01-10,460,8,0,69.4,17.5,0,7,6.5,258000.0,132200.0,1
BUR0000204,APP000189,Equifax,2022-03-12,647,10,1,85.0,67.2,0,8,6.1,971000.0,221300.0,3
BUR0000205,APP000193,CRIF,2022-07-16,524,11,8,84.7,44.7,0,5,16.5,715000.0,253600.0,2
BUR0000206,APP000194,CRIF,2024-03-05,840,10,10,79.6,36.8,0,5,8.0,781000.0,265500.0,1
BUR0000207,APP000194,Experian,2024-05-31,858,4,7,72.9,88.7,0,8,8.5,1346000.0,495100.0,2
BUR0000208,APP000195,Experian,2022-06-21,641,5,8,63.2,91.6,0,3,6.9,451000.0,175500.0,0
BUR0000209,APP000195,Equifax,2022-11-03,613,2,4,97.7,50.3,2,1,17.4,617000.0,261400.0,1
BUR0000210,APP000195,CRIF,2023-10-04,612,6,7,99.2,80.3,2,7,14.7,662000.0,272600.0,0
BUR0000211,APP000197,CIBIL,2022-07-31,671,5,4,99.4,20.4,2,0,14.5,1451000.0,423300.0,0
BUR0000212,APP000200,CRIF,2022-05-09,822,7,2,60.6,85.4,0,0,6.5,1052000.0,92700.0,2
BUR0000213,APP000200,CIBIL,2022-11-20,851,17,0,80.5,11.7,1,8,16.1,775000.0,319100.0,0
BUR0000214,APP000201,CIBIL,2022-08-22,-300,8,1,96.3,74.8,0,5,4.0,1287000.0,401100.0,1
BUR0000215,APP000201,CIBIL,2022-12-02,758,18,8,97.9,84.1,0,8,6.1,1295000.0,327400.0,2
BUR0000216,APP000201,Experian,2023-09-10,741,13,4,74.5,166.6,0,8,7.3,1651000.0,71200.0,0
BUR0000217,APP000201,CRIF,2023-12-11,741,9,5,93.8,64.0,4,5,12.9,1580000.0,160600.0,3
BUR0000218,APP000203,CIBIL,2022-06-19,462,13,9,92.8,50.2,1,8,18.2,542000.0,217300.0,0
BUR0000219,APP000203,Experian,2022-10-29,441,10,10,98.1,53.2,1,4,8.8,460000.0,203600.0,0
BUR0000220,APP000204,Experian,2022-02-09,714,7,9,96.2,0.9,0,2,19.0,1433000.0,74700.0,1
BUR0000221,APP000204,Equifax,2022-09-06,734,15,9,78.0,90.2,0,7,0.8,239000.0,419600.0,1
BUR0000222,APP000206,CRIF,2024-06-24,697,14,7,72.7,69.0,0,5,5.3,1414000.0,305600.0,0
BUR0000223,APP000208,CRIF,2023-06-14,510,16,9,75.3,71.2,4,2,10.2,83000.0,21700.0,1
BUR0000224,APP000208,Equifax,2023-10-13,486,16,6,97.2,94.7,0,6,5.3,451000.0,376800.0,0
BUR0000225,APP000208,Equifax,2024-05-16,469,9,0,77.8,22.0,2,7,1.8,391000.0,211800.0,3
BUR0000226,APP000209,CIBIL,2023-01-01,884,7,6,70.9,46.6,0,2,7.4,810000.0,241600.0,2
BUR0000227,APP000209,Equifax,2023-07-13,881,17,7,82.5,28.8,0,4,17.1,1614000.0,499400.0,0
BUR0000228,APP000210,CRIF,2022-09-29,652,3,0,87.6,13.1,0,8,18.9,1796000.0,258000.0,0
BUR0000229,APP000211,CRIF,2023-10-15,565,9,3,79.0,79.5,1,5,9.3,708000.0,88100.0,0
BUR0000230,APP000214,Experian,2022-01-30,741,11,2,88.6,108.7,3,6,15.4,629000.0,233500.0,0
BUR0000231,APP000214,Equifax,2022-05-27,763,20,8,77.0,14.4,1,2,6.0,242000.0,240500.0,0
BUR0000232,APP000214,Equifax,2022-08-24,784,7,8,65.9,37.5,0,3,4.5,547000.0,99300.0,1
BUR0000233,APP000215,Experian,2022-12-02,766,12,7,82.8,54.0,1,2,18.1,997000.0,24100.0,0
BUR0000234,APP000218,CIBIL,2022-11-07,880,19,2,94.7,57.9,0,7,1.1,881000.0,342000.0,1
BUR0000235,APP000218,CRIF,2023-02-17,856,6,10,92.7,35.5,1,8,16.9,1798000.0,397600.0,1
