application_id,applicant_id,application_date,product_type,loan_purpose,loan_amount,declared_income,employment_type,employer_category,credit_score,debt_to_income,interest_rate,decision,decision_date,loan_tenure_months,city,age
LNA0000065,APP000051,2023-09-03,Auto Loan,Education,1092000.0,47400.0,Self-Employed,PSU Bank,567,43.3,18.5,Approved,2023-09-12,12,Hyderabad,62
LNA0000066,APP000052,2023-07-20,Personal Loan,Personal,174000.0,37424.0,Freelancer,Healthcare,424,10.0,22.76,Declined,2023-07-29,120,Chennai,32
LNA0000067,APP000053,2023-09-09,Personal Loan,Home Purchase,112000.0,46914.0,Salaried,Education,473,5.2,19.99,Pending,2023-09-13,24,Bangalore,31
LNA0000068,APP000054,2023-08-08,Business Loan,Home Purchase,142000.0,133777.0,Salaried,Telecom,873,2.0,11.86,Approved,2023-08-13,180,Chennai,26
LNA0000069,APP000054,2023-09-27,Credit Card,Home Purchase,140000.0,148939.0,Salaried,Telecom,873,2.0,13.86,Approved,2023-10-01,240,Chennai,26
LNA0000070,APP000055,2022-09-18,Home Loan,Vehicle,2591000.0,,Business Owner,Telecom,347,38.7,24.81,Declined,2022-09-20,84,Pune,57
LNA0000071,APP000056,2022-12-25,Auto Loan,Personal,161000.0,350061.0,Salaried,Retail,399,0.7,22.98,Declined,2023-01-02,24,Pune,47
LNA0000072,APP000057,2022-08-30,Personal Loan,Education,773000.0,30501.0,Business Owner,Telecom,725,41.0,15.43,Pending,2022-09-11,84,Chennai,51
LNA0000073,APP000058,2022-07-26,Personal Loan,Debt Consolidation,580000.0,22461.0,Salaried,Telecom,670,47.3,16.31,Withdrawn,2022-08-03,180,Chennai,32
LNA0000074,APP000059,2023-03-12,Personal Loan,Personal,537000.0,87104.0,Freelancer,Manufacturing,827,11.5,13.74,Approved,2023-03-25,24,Kolkata,49
LNA0000075,APP000060,2023-10-04,Business Loan,Medical,125000.0,81932.0,Self-Employed,Government,435,3.3,21.72,Declined,2023-10-10,48,Kolkata,33
LNA0000076,APP000061,2024-03-08,Personal Loan,Home Purchase,263000.0,169872.0,Salaried,Manufacturing,396,3.3,23.08,Declined,2024-03-22,12,Pune,64
LNA0000077,APP000062,2024-06-27,Business Loan,Medical,180000.0,41005.0,Freelancer,Startup,837,8.0,13.58,Approved,2024-07-06,12,Bangalore,59
LNA0000078,APP000063,2022-11-15,Personal Loan,Medical,186000.0,69465.0,Salaried,Manufacturing,812,4.4,13.26,Withdrawn,2022-11-21,84,Ahmedabad,62
LNA0000079,APP000064,2022-07-05,Credit Card,Business,174000.0,79153.0,Salaried,FMCG,673,4.6,16.87,Pending,2022-07-07,180,Pune,52
LNA0000080,APP000065,2023-06-19,Personal Loan,Personal,533000.0,29673.0,Salaried,Healthcare,354,38.4,24.41,Withdrawn,2023-06-28,180,Ahmedabad,51
LNA0000081,APP000066,2023-10-29,Auto Loan,Vehicle,84000.0,69099.0,Salaried,Retail,306,2.3,24.1,Withdrawn,2023-11-05,24,Delhi,65
LNA0000082,APP000067,2022-11-22,Business Loan,Education,4143000.0,303488.0,Self-Employed,IT Company,795,27.0,13.48,Approved,2022-11-24,84,Mumbai,52
LNA0000083,APP000068,2022-09-16,Credit Card,Debt Consolidation,151000.0,36143.0,Salaried,PSU Bank,836,8.1,12.67,Approved,2022-09-29,12,Chennai,44
LNA0000084,APP000069,2024-06-08,Home Loan,Debt Consolidation,2989000.0,17404.0,Self-Employed,Manufacturing,355,314.5,23.84,Withdrawn,2024-06-16,84,Ahmedabad,28
LNA0000085,APP000070,2022-03-13,Personal Loan,Education,411000.0,17337.0,Freelancer,Education,720,35.8,16.43,Approved,2022-03-21,24,Kolkata,47
LNA0000086,APP000071,2023-05-28,Business Loan,Medical,184000.0,52695.0,Business Owner,Healthcare,626,6.6,16.73,Approved,2023-06-06,60,Delhi,43
LNA0000087,APP000072,2022-12-27,Auto Loan,Vehicle,116000.0,,Salaried,IT Company,438,4.0,22.56,Declined,2023-01-01,120,Mumbai,52
LNA0000088,APP000073,2023-04-24,Business Loan,Home Purchase,87000.0,68955.0,Salaried,Telecom,357,2.3,24.03,Declined,2023-04-26,120,Hyderabad,32
LNA0000089,APP000074,2023-11-10,Personal Loan,Home Purchase,268000.0,324213.0,Salaried,Manufacturing,520,1.7,20.06,Declined,2023-11-13,120,Mumbai,58
LNA0000090,APP000074,2024-04-24,Business Loan,Medical,97000.0,322364.0,Salaried,Manufacturing,520,0.6,20.84,Withdrawn,2024-04-29,84,Mumbai,58
LNA0000091,APP000075,2023-09-28,Home Loan,Debt Consolidation,62000.0,505072.0,Salaried,Startup,868,0.3,12.27,Approved,2023-09-30,24,Pune,28
LNA0000092,APP000076,2024-06-05,Business Loan,Home Purchase,139000.0,24903.0,Salaried,Manufacturing,499,9.4,21.92,Declined,2024-06-09,36,Mumbai,42
LNA0000093,APP000077,2022-04-18,Home Loan,Business,87000.0,54713.0,Freelancer,Manufacturing,341,3.0,23.23,Declined,2022-04-20,120,Mumbai,42
LNA0000094,APP000078,2022-09-22,Personal Loan,Business,133000.0,20311.0,Salaried,Healthcare,480,10.1,19.45,Declined,2022-10-03,180,Chennai,34
LNA0000095,APP000079,2022-04-05,Auto Loan,Business,66000.0,35341.0,Salaried,Startup,554,3.7,18.15,Withdrawn,2022-04-07,36,Ahmedabad,60
LNA0000096,APP000080,2024-01-08,Auto Loan,Medical,60000.0,26230.0,Salaried,FMCG,336,4.0,22.43,Declined,2024-01-10,60,Ahmedabad,62
LNA0000097,APP000081,,Business Loan,Home Purchase,603000.0,51341.0,Salaried,Manufacturing,755,21.9,14.35,Approved,2023-08-15,180,Ahmedabad,25
LNA0000098,APP000082,2022-12-09,Business Loan,Education,159000.0,39425.0,Self-Employed,PSU Bank,809,6.3,12.9,Approved,2022-12-16,12,Chennai,54
LNA0000099,APP000083,2023-02-08,Personal Loan,Personal,1453000.0,74158.0,Salaried,Retail,367,38.6,23.47,Declined,2023-02-12,180,Hyderabad,57
LNA0000100,APP000084,2023-09-23,Business Loan,Education,89000.0,25737.0,Salaried,Retail,676,7.2,18.16,Approved,2023-10-04,24,Ahmedabad,25
LNA0000101,APP000085,2022-09-27,Personal Loan,Vehicle,60000.0,37471.0,Freelancer,FMCG,713,3.2,17.15,Declined,2022-10-04,120,Delhi,38
LNA0000102,APP000086,2023-10-14,Home Loan,Business,614000.0,107857.0,Salaried,Government,833,11.4,13.34,Approved,2023-10-17,12,Pune,45
LNA0000103,APP000087,2024-05-13,Personal Loan,Medical,692000.0,27871.0,Self-Employed,Government,547,48.3,18.54,Declined,2024-05-23,48,Hyderabad,57
LNA0000104,APP000088,2022-12-18,Auto Loan,Education,186000.0,40428.0,Salaried,Retail,390,6.9,21.83,Declined,2022-12-23,60,Kolkata,32
LNA0000105,APP000088,2023-04-09,Business Loan,Education,200000.0,46901.0,Salaried,Retail,390,7.4,23.13,Pending,2023-04-18,120,Kolkata,32
LNA0000106,APP000089,2022-06-18,Home Loan,Business,76000.0,136279.0,Business Owner,IT Company,363,1.0,23.12,Declined,2022-06-19,60,Bangalore,24
LNA0000107,APP000090,2022-12-29,Auto Loan,Medical,198000.0,30937.0,Self-Employed,FMCG,511,11.5,19.6,Declined,2023-01-04,240,Delhi,57
LNA0000108,APP000091,2023-08-27,Auto Loan,Vehicle,751000.0,46824.0,Salaried,Education,490,26.5,-1.0,Declined,2023-09-07,36,Chennai,53
LNA0000109,APP000092,2023-11-30,Business Loan,Business,553000.0,20865.0,Freelancer,FMCG,872,45.2,14.07,Approved,2023-12-07,24,Hyderabad,39
LNA0000110,APP000093,2024-05-30,Credit Card,Education,839000.0,300642.0,Self-Employed,Healthcare,612,4.9,17.05,Declined,2024-06-08,84,Pune,58
LNA0000111,APP000094,2023-12-09,Credit Card,Business,823000.0,28479.0,Business Owner,Startup,840,54.0,14.22,Approved,2023-12-14,48,Mumbai,29
LNA0000112,APP000094,2024-02-19,Credit Card,Personal,127000.0,32948.0,Business Owner,Startup,840,8.3,13.43,Approved,2024-03-01,84,Mumbai,29
LNA0000113,APP000095,2023-10-11,Credit Card,Business,150000.0,44156.0,Business Owner,Retail,831,166.20448059565433,15.32,Pending,2023-10-25,24,Delhi,30
LNA0000114,APP000096,2022-02-25,Home Loan,Vehicle,114000.0,58233.0,Self-Employed,Manufacturing,664,3.2,15.95,Approved,2022-03-04,12,Kolkata,44
LNA0000115,APP000096,2022-07-13,Business Loan,Personal,281000.0,56252.0,Self-Employed,Manufacturing,664,8.0,18.53,Approved,2022-07-16,48,Kolkata,44
LNA0000116,APP000097,2023-03-18,Credit Card,Business,819000.0,149541.0,Self-Employed,Education,533,9.8,21.12,Declined,2023-03-27,120,Hyderabad,53
LNA0000117,APP000097,2023-12-31,Auto Loan,Vehicle,129000.0,132159.0,SELF EMPLOYED,Education,533,1.5,18.49,Pending,2024-01-11,84,Hyderabad,53
LNA0000118,APP000098,2022-02-27,Business Loan,Vehicle,986000.0,85340.0,Self-Employed,Government,307,23.3,25.41,Declined,2022-03-05,180,Bangalore,48
LNA0000119,APP000099,2022-08-24,Business Loan,Business,56000.0,74074.0,Salaried,Retail,316,1.4,23.34,Declined,2022-09-04,24,Mumbai,35
LNA0000120,APP000099,2023-02-05,Personal Loan,Business,173000.0,71701.0,Salaried,Retail,316,4.4,24.86,Declined,2023-02-16,36,Mumbai,35
LNA0000121,APP000100,2022-12-10,Credit Card,Home Purchase,163000.0,79686.0,Salaried,Healthcare,371,3.3,23.19,Declined,2022-12-12,60,Delhi,21
LNA0000122,APP000100,2023-05-07,Credit Card,Education,64000.0,90852.0,Salaried,Healthcare,371,1.3,22.32,Pending,2023-05-18,48,Delhi,21
LNA0000123,APP000101,2024-04-03,Credit Card,Vehicle,121000.0,303167.0,Salaried,Startup,579,0.8,20.26,Pending,2024-04-04,180,Ahmedabad,58
LNA0000124,APP000102,2022-11-28,Auto Loan,Medical,538000.0,34302.0,Salaried,Government,648,33.1,17.7,Declined,2022-12-02,180,Delhi,34
LNA0000125,APP000103,2024-01-31,Credit Card,Debt Consolidation,60000.0,96548.0,Salaried,Government,884,1.3,11.41,Approved,2024-02-13,48,Mumbai,43
LNA0000126,APP000104,2024-01-14,Personal Loan,Home Purchase,407000.0,75422.0,Salaried,Manufacturing,638,9.7,16.73,Declined,2024-01-16,36,Ahmedabad,49
LNA0000127,APP000105,2023-12-16,Auto Loan,Business,104000.0,120930.0,Salaried,Government,348,1.4,23.24,Declined,2023-12-30,12,Delhi,46
LNA0000128,APP000106,2022-11-08,Auto Loan,Education,853000.0,68223.0,Business Owner,Education,321,19.9,22.63,Declined,2022-11-17,180,Ahmedabad,52
LNA0000129,APP000107,2022-09-10,Business Loan,Personal,68000.0,184496.0,Salaried,FMCG,677,0.8,17.81,Approved,2022-09-18,120,Ahmedabad,24
LNA0000130,APP000107,2023-07-26,Business Loan,Business,113000.0,144288.0,Salaried,FMCG,677,1.3,16.75,Approved,2023-07-28,36,Ahmedabad,24
LNA0000131,APP000108,2022-11-24,Credit Card,Debt Consolidation,4864000.0,90658.0,Salaried,Retail,805,115.7,15.56,Pending,2022-12-08,120,Ahmedabad,56
LNA0000132,APP000109,2023-06-28,Business Loan,Education,179000.0,34472.0,Retired,FMCG,817,10.2,13.78,Approved,2023-07-02,36,Hyderabad,27
LNA0000133,APP000109,2024-03-12,Credit Card,Debt Consolidation,963000.0,28878.0,Retired,FMCG,817,55.1,14.98,Approved,2024-03-25,48,Hyderabad,27
LNA0000134,APP000110,2023-05-18,Business Loan,Business,503000.0,63968.0,Self-Employed,Telecom,377,14.5,24.29,Declined,2023-05-24,24,Kolkata,31
LNA0000135,APP000111,2023-10-26,Credit Card,Home Purchase,186000.0,429733.0,Freelancer,Government,501,0.9,19.39,Declined,2023-10-27,120,Pune,54
LNA0000136,APP000112,2023-01-01,Business Loan,Debt Consolidation,744000.0,24256.0,Salaried,Manufacturing,822,51.2,12.96,Withdrawn,2023-01-02,36,Hyderabad,59
LNA0000137,APP000113,2023-01-21,Credit Card,Personal,192000.0,52341.0,Salaried,PSU Bank,876,7.2,13.6,Approved,2023-02-03,48,Chennai,42
LNA0000138,APP000114,2022-02-24,Business Loan,Business,463000.0,29107.0,Salaried,FMCG,782,27.1,15.67,Approved,2022-03-06,12,Ahmedabad,58
LNA0000139,APP000115,2024-05-26,Credit Card,Personal,137000.0,51191.0,Self-Employed,PSU Bank,567,4.7,19.21,Approved,2024-06-02,48,Chennai,38
LNA0000140,APP000116,2022-03-12,Business Loan,Vehicle,69000.0,30972.0,Freelancer,Telecom,405,4.0,22.21,Approved,2022-03-22,36,Chennai,23
LNA0000141,APP000117,2022-01-25,Auto Loan,Debt Consolidation,896000.0,40308.0,Retired,FMCG,671,34.6,18.26,Approved,2022-01-31,240,Delhi,55
LNA0000142,APP000118,2022-06-28,Credit Card,Home Purchase,195000.0,72764.0,Retired,Education,802,5.3,13.61,Approved,2022-07-08,180,Pune,28
LNA0000143,APP000119,2022-09-17,Personal Loan,Business,639000.0,73856.0,Salaried,FMCG,794,17.7,14.76,Withdrawn,2022-09-19,48,Bangalore,54
LNA0000144,APP000120,2023-04-14,Credit Card,Business,66000.0,178610.0,Self-Employed,FMCG,477,0.6,19.87,Pending,2023-04-24,120,Ahmedabad,62
LNA0000145,APP000120,2024-03-19,Personal Loan,Personal,976000.0,,Self-Employed,FMCG,477,9.2,19.95,Declined,2024-03-29,12,Ahmedabad,62
LNA0000146,APP000121,2024-05-29,Home Loan,Business,116000.0,137566.0,Self-Employed,Government,567,1.7,19.98,Withdrawn,2024-05-31,48,Bangalore,41
LNA0000147,APP000122,2022-03-31,Home Loan,Business,330000.0,219535.0,Self-Employed,Education,542,3.2,18.87,Declined,2022-04-11,60,Bangalore,55
LNA0000148,APP000122,2022-11-02,Auto Loan,Personal,352000.0,209866.0,Self-Employed,Education,542,3.5,19.01,Declined,2022-11-16,24,Bangalore,55
LNA0000149,APP000123,2024-03-10,Auto Loan,Business,474000.0,24050.0,Salaried,Startup,543,30.8,19.4,Withdrawn,2024-03-12,36,Mumbai,31
LNA0000150,APP000124,2022-03-23,Personal Loan,Education,3246000.0,,Salaried,FMCG,530,157.6,19.23,Declined,2022-03-24,48,Mumbai,21
LNA0000151,APP000124,2023-01-18,Credit Card,Medical,2509000.0,38970.0,Salaried,FMCG,530,121.8,20.2,Declined,2023-01-27,180,Mumbai,21
LNA0000152,APP000124,2023-09-30,Auto Loan,Medical,187000.0,35274.0,Salaried,FMCG,530,9.1,20.2,Declined,2023-10-11,240,Mumbai,21
LNA0000153,APP000125,2024-02-12,Credit Card,Vehicle,2601000.0,62451.0,Self-Employed,Healthcare,480,88.2,20.9,Declined,2024-02-23,120,Kolkata,61
LNA0000154,APP000126,2022-08-12,Home Loan,Home Purchase,57000.0,135959.0,Salaried,Manufacturing,300,0.7,23.39,Approved,2022-08-21,60,Chennai,65
LNA0000155,APP000127,2024-01-17,Credit Card,Business,133000.0,47135.0,Freelancer,Telecom,323,5.0,22.94,Declined,2024-01-22,48,Bangalore,63
LNA0000156,APP000128,2022-05-04,Home Loan,Vehicle,600000.0,94886.0,Salaried,Government,770,12.6,14.65,Withdrawn,2022-05-07,84,Mumbai,39
LNA0000157,APP000128,2022-12-28,Business Loan,Vehicle,3279000.0,79336.0,Salaried,Government,770,68.9,15.74,Approved,2023-01-02,240,Mumbai,39
LNA0000158,APP000128,2023-12-03,Auto Loan,Home Purchase,1647000.0,96460.0,Salaried,Government,770,34.6,14.87,Approved,2023-12-08,48,Mumbai,39
LNA0000159,APP000129,2022-02-14,Home Loan,Education,110000.0,13918.0,Salaried,IT Company,632,12.0,19.14,Approved,2022-02-19,24,Ahmedabad,59
LNA0000160,APP000130,2024-05-07,Home Loan,Vehicle,177000.0,19772.0,Salaried,Education,311,17.5,25.17,Declined,2024-05-08,12,Delhi,52
LNA0000161,APP000131,2022-09-08,Credit Card,Vehicle,722000.0,83180.0,Salaried,Manufacturing,400,18.0,21.11,Declined,2022-09-16,60,Delhi,52
LNA0000162,APP000132,2024-03-01,Credit Card,Business,839000.0,59691.0,Freelancer,Startup,706,30.3,16.02,Approved,2024-03-08,180,Chennai,30
LNA0000163,APP000132,2024-06-26,Credit Card,Business,66000.0,44271.0,Freelancer,Startup,706,2.4,17.87,Declined,2024-06-28,84,Chennai,30
LNA0000164,APP000133,2023-02-06,Auto Loan,Personal,719000.0,18614.0,Retired,Startup,691,68.1,17.53,Approved,2023-02-11,24,Kolkata,32
LNA0000165,APP000134,2024-04-19,Home Loan,Vehicle,68000.0,137336.0,Freelancer,PSU Bank,789,0.9,14.46,Declined,2024-04-22,240,Delhi,59
LNA0000166,APP000135,2024-05-14,Home Loan,Medical,939000.0,50337.0,Self-Employed,Healthcare,841,31.1,13.68,Approved,2024-05-15,24,Hyderabad,55
LNA0000167,APP000136,2023-04-02,Personal Loan,Personal,802000.0,44134.0,Business Owner,Startup,528,35.2,19.45,Declined,2023-04-08,180,Hyderabad,0
LNA0000168,APP000137,2023-08-19,Credit Card,Vehicle,580000.0,31493.0,Freelancer,Government,664,30.3,18.64,Declined,2023-08-27,240,Pune,42
