alt_record_id,applicant_id,record_date,utility_payments_12m,utility_on_time_pct,rental_payments_12m,rental_on_time_pct,telecom_payments_12m,telecom_on_time_pct,mobile_money_txn_count,mobile_money_avg_balance,rent_amount_monthly,months_at_address,alt_score
ALT000032,APP000088,2022-12-18,9,75.0,5,66.0,10,91.7,14,11860.03,46300.0,12,-100.0
ALT000033,APP000089,2022-06-18,5,50.6,6,95.8,3,78.7,88,45401.81,21817.0,98,335.0
ALT000034,APP000090,2022-12-29,2,74.1,3,63.8,0,63.7,159,988.53,18035.0,98,690.0
ALT000035,APP000095,2023-10-11,7,61.6,12,99.8,0,94.9,60,17877.78,35799.0,12,735.0
ALT000036,APP000098,2022-02-27,10,88.0,4,54.5,9,97.0,160,11139.79,4432.0,46,680.0
ALT000037,APP000099,2022-08-24,4,95.3,12,56.8,12,61.5,177,38370.48,39148.0,39,390.0
ALT000038,APP000100,2022-12-10,3,90.0,4,76.1,6,99.7,128,46984.9,12995.0,24,346.0
ALT000039,APP000105,2023-12-16,6,76.5,7,86.7,4,50.6,83,16631.92,17701.0,71,347.0
ALT000040,APP000106,2022-11-08,9,56.9,2,90.0,3,62.8,89,27523.38,13977.0,78,536.0
ALT000041,APP000107,2022-09-10,12,86.7,5,53.5,12,77.3,72,41671.89,25228.0,103,477.0
ALT000042,APP000109,2023-06-28,17,60.4,11,63.8,1,78.3,184,16220.38,5635.0,5,511.0
ALT000043,APP000110,2023-05-18,9,84.3,6,81.0,10,73.3,192,45560.4,37289.0,42,382.0
ALT000044,APP000126,2022-08-12,1,70.8,2,41.8,8,61.5,122,10862.09,36243.0,118,359.0
ALT000045,APP000127,2024-01-17,11,51.9,5,81.6,7,85.0,18,20589.78,23881.0,66,727.0
ALT000046,APP000130,2024-05-07,8,92.2,1,94.7,10,70.1,94,33267.51,48015.0,68,311.0
ALT000047,APP000138,2023-07-20,2,85.4,9,53.7,6,72.1,24,47125.09,16669.0,70,481.0
ALT000048,APP000140,2023-10-22,10,59.2,2,93.3,3,88.2,88,47458.71,45892.0,30,311.0
ALT000049,APP000142,2022-02-03,10,65.8,6,54.0,7,75.2,190,47804.82,4122.0,11,819.0
ALT000050,APP000143,2022-07-15,5,52.2,2,62.2,3,62.2,144,43898.47,25108.0,73,559.0
ALT000051,APP000153,2022-05-27,7,69.2,10,98.5,12,61.2,116,45391.06,42023.0,52,758.0
ALT000052,APP000159,2023-01-31,9,58.6,1,77.4,10,65.4,150,17099.82,35625.0,89,827.0
ALT000053,APP000160,2023-10-19,2,85.6,9,53.8,3,83.4,116,39056.17,30597.0,16,720.0
ALT000054,APP000164,2022-02-07,8,62.5,2,87.4,1,93.6,183,39439.36,11768.0,49,601.0
ALT000055,APP000165,2023-04-18,8,73.1,1,53.3,6,86.4,7,45801.21,39703.0,113,676.0
ALT000056,APP000169,2023-05-08,1,63.9,0,48.5,4,80.6,4,1111.64,10714.0,114,310.0
ALT000057,APP000174,2024-02-03,3,60.1,0,68.7,5,69.1,65,40648.39,19676.0,4,495.0
ALT000058,APP000175,2022-07-31,10,91.4,4,46.7,0,82.1,29,42093.21,34578.0,84,522.0
ALT000059,APP000178,2023-05-11,6,77.1,5,63.9,7,66.7,64,15503.1,24516.0,93,821.0
ALT000060,APP000187,2023-03-18,9,55.2,2,72.4,0,72.7,2,48844.3,16072.0,14,582.0
ALT000061,APP000190,2022-07-19,1,81.1,8,52.6,6,80.2,173,15747.4,14939.0,95,796.0
ALT000062,APP000191,2023-09-16,7,97.6,10,92.8,4,77.1,5,32021.74,37516.0,58,474.0
ALT000063,APP000192,2024-06-03,9,89.4,3,70.1,10,74.1,47,16820.4,23319.0,101,654.0
ALT000064,APP000196,2022-09-06,10,74.4,3,77.3,7,63.5,131,16120.16,42310.0,116,360.0
ALT000065,APP000198,2024-04-06,4,84.3,3,73.4,10,71.8,83,18964.38,15538.0,87,459.0
ALT000066,APP000199,2023-02-05,4,99.9,7,69.7,12,70.2,172,34525.76,17353.0,20,718.0
ALT000067,APP000202,2022-05-09,0,84.9,2,65.0,4,55.0,52,16243.28,19513.0,19,439.0
ALT000068,APP000205,2022-10-25,2,72.7,10,99.5,10,55.3,0,7658.95,32482.0,99,303.0
ALT000069,APP000207,2023-08-17,14,83.2,2,48.0,6,95.4,181,16760.58,10249.0,10,581.0
ALT000070,APP000212,2022-01-15,1,84.4,7,44.4,10,93.7,0,33263.76,36795.0,115,671.0
ALT000071,APP000213,2023-05-31,8,74.8,12,48.3,4,95.3,156,27601.55,27753.0,81,333.0
ALT000072,APP000216,2022-11-27,3,56.0,5,71.5,0,62.1,29,27024.57,33940.0,52,410.0
ALT000073,APP000217,2023-12-10,2,58.8,6,40.0,12,99.2,97,12137.73,40257.0,10,306.0
ALT000074,APP000220,2024-05-15,7,81.6,10,99.6,0,66.3,11,-1822.74,35481.0,27,640.0
ALT000075,APP000224,2023-10-31,12,60.7,11,82.7,10,52.6,121,40178.18,26042.0,94,433.0
ALT000076,APP000226,2022-08-07,1,68.2,3,48.5,3,79.8,40,17648.37,24634.0,78,565.0
ALT000077,APP000227,2023-04-20,12,89.5,10,98.6,9,87.6,120,43186.6,44279.0,96,829.0
ALT000078,APP000232,2022-02-15,12,91.9,7,42.2,2,62.9,175,24797.97,12737.0,102,703.0
ALT000079,APP000234,2024-03-16,12,87.1,4,43.2,5,99.3,5,26122.54,39701.0,117,740.0
ALT000080,APP000238,2022-12-28,6,52.9,2,56.8,10,50.2,110,28181.44,33400.0,26,606.0
ALT000081,APP000241,2022-07-28,6,95.3,3,50.2,10,98.1,14,17838.37,36423.0,120,344.0
ALT000082,APP000244,2022-07-29,0,96.1,4,74.9,11,68.5,85,22711.0,38438.0,66,316.0
ALT000083,APP000248,2024-01-15,4,85.6,12,71.3,4,99.0,106,4953.04,46946.0,19,401.0
ALT000084,APP000252,2023-04-06,1,76.1,8,42.8,9,77.6,63,38936.32,24406.0,48,686.0
ALT000085,APP000253,2022-09-25,9,80.0,7,92.5,4,51.9,91,42716.72,39915.0,69,723.0
ALT000086,APP000256,2023-03-28,8,83.8,7,67.1,2,80.5,163,21773.23,23482.0,106,453.0
ALT000087,APP000258,2024-03-03,1,71.6,4,69.8,10,72.3,28,11416.57,35713.0,41,669.0
ALT000088,APP000259,2022-01-18,9,89.5,0,61.2,1,84.5,105,8446.28,20863.0,36,302.0
ALT000089,APP000260,2022-11-06,2,60.4,9,81.7,8,63.2,20,18672.76,7516.0,110,489.0
ALT000090,APP000261,2024-01-22,5,66.8,1,81.1,10,57.6,15,18452.96,41692.0,32,344.0
ALT000091,APP000262,2024-04-22,0,58.2,6,68.7,2,76.4,14,23136.32,22938.0,50,578.0
ALT000092,APP000264,2022-04-17,3,73.9,4,49.1,9,76.4,39,20435.49,34684.0,54,655.0
ALT000093,APP000268,2022-03-09,5,77.8,5,90.7,7,84.9,90,33484.91,32268.0,64,489.0
ALT000094,APP000270,2022-06-08,7,62.4,8,56.8,7,79.0,77,39898.01,23812.0,67,429.0
ALT000095,APP000272,2023-05-20,3,82.2,7,61.8,8,57.2,172,48172.95,3738.0,56,777.0
ALT000096,APP000276,2023-01-25,7,73.6,12,82.1,6,98.2,69,42690.32,31620.0,93,619.0
ALT000097,APP000282,2023-10-13,2,82.0,1,58.3,4,88.1,28,26659.23,37750.0,102,404.0
ALT000098,APP000293,2022-12-22,2,79.9,10,59.7,12,73.3,181,5854.18,36840.0,18,539.0
ALT000099,APP000297,2023-09-23,1,69.7,11,62.6,0,91.5,49,6587.75,48395.0,30,734.0
ALT000100,APP000298,2024-01-18,8,72.4,5,80.4,0,50.0,13,40156.75,41607.0,12,569.0
ALT000101,APP000300,,6,77.2,10,87.6,3,70.0,134,49535.43,5176.0,25,608.0
ALT000102,APP000307,2022-04-09,10,91.3,0,45.2,9,58.7,166,23421.96,47429.0,42,340.0
ALT000103,APP000308,2022-06-03,6,78.7,11,50.0,9,63.7,46,38107.26,18952.0,116,363.0
ALT000104,APP000314,2022-04-19,10,60.0,12,93.1,9,53.3,148,19463.15,19288.0,60,604.0
ALT000105,APP000316,2022-01-24,6,72.6,2,89.6,10,74.8,78,7945.11,28749.0,5,633.0
ALT000106,APP000318,2022-11-29,5,90.7,9,78.9,1,83.1,188,17618.61,19643.0,99,436.0
ALT000107,APP000323,2023-05-07,7,75.8,7,61.0,11,52.0,152,41565.64,34929.0,40,416.0
ALT000108,APP000324,2022-02-03,1,73.5,6,50.6,2,72.9,0,40323.2,34440.0,81,373.0
ALT000109,APP000325,2024-03-15,4,83.3,12,48.2,12,64.9,153,17302.04,29546.0,62,523.0
ALT000110,APP000327,2023-11-23,3,66.6,1,72.8,1,93.6,176,21239.9,19277.0,24,539.0
ALT000111,APP000328,2024-01-09,10,52.4,10,66.9,0,79.4,168,42507.26,34826.0,66,402.0
ALT000112,APP000332,2023-07-22,3,79.4,9,72.7,4,71.9,120,47519.8,19667.0,96,748.0
ALT000113,APP000337,2022-08-31,11,69.0,7,95.6,3,92.6,190,3945.76,39358.0,32,753.0
ALT000114,APP000340,2023-02-14,4,73.5,7,91.0,3,85.4,29,36338.74,12216.0,7,471.0
ALT000115,APP000343,2023-11-12,0,61.4,7,60.0,0,55.9,102,5326.32,38669.0,115,350.0
ALT000116,APP000348,2024-03-19,10,63.2,4,46.3,1,87.3,195,1752.29,13023.0,113,745.0
ALT000117,APP000351,2023-11-04,4,64.0,10,85.2,8,89.9,20,22176.55,23817.0,45,560.0
ALT000118,APP000356,2022-06-30,2,96.2,11,52.0,2,54.1,120,42172.44,9183.0,19,404.0
ALT000119,APP000358,2023-12-19,10,84.3,3,60.6,12,80.2,68,9602.49,18003.0,46,605.0
ALT000120,APP000364,2022-04-12,9,52.3,5,71.1,7,92.0,174,36318.09,48758.0,73,541.0
ALT000121,APP000367,2022-11-09,11,75.5,4,96.0,9,85.1,32,16114.08,15149.0,84,440.0
ALT000122,APP000376,2023-09-03,6,77.8,11,93.1,8,95.9,44,15546.98,39051.0,89,412.0
ALT000123,APP000378,2024-01-12,0,58.0,5,59.0,12,82.4,105,21484.2,48637.0,81,834.0
ALT000124,APP000379,2022-07-28,0,88.1,6,89.7,10,76.2,164,14043.23,10108.0,34,755.0
ALT000125,APP000382,2022-12-30,5,63.8,1,74.5,10,80.7,118,39548.69,25492.0,54,399.0
ALT000126,APP000384,2022-01-16,1,97.9,9,74.2,7,66.8,138,38214.6,14361.0,71,842.0
ALT000127,APP000386,2022-03-27,3,78.6,11,73.9,9,54.8,20,35601.87,5484.0,35,372.0
ALT000128,APP000391,2022-10-15,11,95.1,6,89.5,12,70.1,160,31168.51,31369.0,70,548.0
ALT000129,APP000396,2023-09-01,6,65.4,6,95.7,4,83.3,81,49456.34,23008.0,77,329.0
ALT000130,APP000399,2024-04-28,9,50.9,4,92.5,1,65.0,152,29197.38,43221.0,19,699.0
ALT000131,APP000402,2023-04-01,12,94.4,6,76.2,3,66.1,53,5916.24,10385.0,46,620.0
ALT000132,APP000405,2023-12-24,7,98.9,7,84.1,10,64.6,198,37137.54,39460.0,105,394.0
ALT000133,APP000410,2023-04-17,12,81.5,0,47.7,8,68.7,81,5223.32,35375.0,98,644.0
ALT000134,APP000415,2023-09-24,7,81.2,12,47.5,0,83.0,9,10026.46,21887.0,46,348.0
ALT000135,APP000416,2024-04-13,8,52.9,7,53.9,6,97.5,157,33694.5,32603.0,92,827.0
ALT000136,APP000417,2024-01-29,2,98.7,2,74.7,12,74.8,100,46799.7,45196.0,108,793.0
ALT000137,APP000419,2024-03-01,9,93.4,3,52.6,0,62.8,58,11064.56,35071.0,30,357.0
ALT000138,APP000420,2023-01-18,7,81.9,10,90.4,1,69.9,96,11869.6,5965.0,40,667.0
ALT000139,APP000425,2023-06-04,5,77.6,8,61.3,8,83.8,82,5821.59,41877.0,106,338.0
ALT000140,APP000426,2022-11-26,10,95.1,7,68.1,5,55.2,82,49524.53,46832.0,22,451.0
ALT000141,APP000428,2023-12-25,12,79.1,4,66.0,2,58.4,94,28223.65,40340.0,21,521.0
ALT000142,APP000443,2022-06-16,10,96.9,9,79.7,1,92.5,118,33440.24,43308.0,33,301.0
ALT000143,APP000444,2022-03-10,7,94.5,9,93.3,11,84.9,49,4559.45,25743.0,66,612.0
ALT000144,APP000445,2022-12-06,10,89.0,6,99.1,3,62.9,183,23407.9,38758.0,14,391.0
ALT000145,APP000449,2023-04-27,10,72.3,1,84.9,8,81.5,36,29774.22,4111.0,68,824.0
ALT000146,APP000450,2023-11-04,3,95.5,6,97.6,9,77.9,146,21458.57,27964.0,38,749.0
ALT000147,APP000454,2023-07-17,9,70.6,4,99.4,10,100.0,79,43847.71,22083.0,18,676.0
ALT000148,APP000457,2024-01-14,1,126.2,1,70.5,9,97.8,200,49400.26,37291.0,1,527.0
ALT000149,APP000459,2022-01-15,1,98.8,6,69.2,3,67.8,33,45203.2,40547.0,35,481.0
ALT000150,APP000460,2024-04-17,5,79.8,6,75.3,5,64.1,7,649.17,18355.0,100,451.0
ALT000151,APP000464,2022-12-16,3,60.7,1,84.4,3,89.6,6,11249.09,32857.0,102,659.0
ALT000152,APP000477,2022-09-04,9,78.4,5,77.6,1,90.0,41,23227.64,21542.0,102,680.0
ALT000153,APP000479,2024-01-07,4,86.3,9,40.4,12,62.8,138,36863.55,16719.0,91,314.0
ALT000154,APP000489,2023-05-24,3,69.7,2,48.9,8,86.6,110,39683.76,36109.0,86,592.0
ALT000155,APP000493,2023-03-29,0,93.6,7,89.6,8,68.3,183,45989.47,44167.0,91,843.0
ALT000156,APP000494,2022-01-19,8,59.3,6,97.2,0,51.4,99,27214.07,38499.0,82,490.0
ALT000157,APP000496,2022-09-23,6,66.5,7,73.0,11,73.2,109,29335.1,45651.0,87,831.0
ALT000158,APP000501,2022-11-14,14,96.4,8,42.8,12,58.9,195,13375.14,0.0,118,550.0
ALT000159,APP000504,2023-07-18,12,71.2,3,53.1,5,92.2,71,32129.39,38160.0,120,785.0
ALT000160,APP000505,2022-06-01,6,89.6,11,46.8,3,73.3,127,5504.33,10602.0,22,499.0
ALT000161,APP000515,2023-06-27,10,54.0,5,59.3,5,79.8,41,46118.04,47188.0,36,828.0
ALT000162,APP000518,2023-01-09,4,60.9,1,41.0,5,60.6,23,1567.85,40943.0,74,616.0
ALT000163,APP000522,2022-03-26,4,52.2,11,47.5,2,93.5,57,34862.63,34363.0,48,541.0
ALT000164,APP000523,2024-04-14,10,62.1,9,78.0,2,96.8,200,24245.96,20340.0,65,783.0
ALT000165,APP000530,2024-03-16,9,57.5,0,62.3,12,58.8,21,17178.51,33875.0,91,691.0
ALT000166,APP000532,2022-08-16,6,96.9,0,90.2,6,74.1,48,22344.17,23683.0,64,832.0
ALT000167,APP000542,2022-04-02,11,65.7,10,74.7,12,95.3,90,3723.38,47047.0,63,807.0
ALT000168,APP000543,2023-03-25,5,60.5,6,83.9,7,87.6,134,47654.5,26657.0,114,840.0
ALT000169,APP000545,2022-03-15,9,91.9,8,86.6,2,70.8,66,43845.19,45875.0,97,458.0
ALT000170,APP000546,2023-02-07,7,56.5,4,66.6,5,83.4,55,31983.29,8345.0,98,629.0
ALT000171,APP000548,2022-02-07,3,79.8,3,43.2,0,77.4,20,12839.18,6898.0,98,697.0
ALT000172,APP000552,2022-07-04,2,60.6,6,76.7,0,95.5,200,25900.12,48912.0,27,668.0
ALT000173,APP000561,2022-05-30,8,72.8,8,77.3,10,87.2,138,12594.22,13121.0,112,586.0
ALT000174,APP000566,2022-07-05,11,93.8,12,66.7,7,56.0,199,49678.52,5345.0,26,812.0
ALT000175,APP000567,2024-05-23,1,97.9,11,46.1,3,59.7,55,20220.78,42299.0,30,378.0
ALT000176,APP000568,2022-07-06,2,95.1,4,87.7,12,79.1,122,3954.83,47381.0,116,504.0
ALT000177,APP000569,2024-04-14,8,91.1,9,72.3,7,71.7,46,42955.73,5504.0,48,356.0
ALT000178,APP000570,2024-05-26,6,56.2,11,40.1,8,97.9,142,27029.14,10398.0,112,608.0
ALT000179,APP000572,2023-08-29,14,65.7,5,94.8,4,67.0,169,47638.19,11473.0,94,706.0
ALT000180,APP000574,2023-11-20,24,100.0,4,89.4,12,60.9,117,17778.66,49308.0,3,597.0
ALT000181,APP000576,2023-11-22,7,93.0,9,53.6,3,86.7,135,1741.29,31226.0,104,809.0
ALT000182,APP000584,2022-03-04,7,62.8,3,93.3,10,79.4,63,21903.36,39251.0,116,420.0
ALT000183,APP000586,2023-07-05,3,82.3,10,87.4,2,63.8,120,167.73,28938.0,73,669.0
ALT000184,APP000598,2023-12-12,9,93.7,2,77.0,9,99.1,133,-1930.65,47486.0,90,628.0
ALT000185,APP000606,2023-02-06,8,89.3,11,73.8,1,66.4,1,35426.13,47818.0,4,543.0
ALT000186,APP000607,2023-05-25,1,62.9,8,40.2,7,60.0,86,4914.64,39473.0,104,796.0
ALT000187,APP000611,2022-09-30,7,97.2,2,59.5,7,97.3,123,5043.51,3689.0,45,411.0
ALT000188,APP000612,2022-09-15,12,66.1,5,92.3,4,63.5,190,5281.45,32349.0,62,405.0
ALT000189,APP000617,2024-06-26,11,62.8,1,44.0,4,54.9,148,36026.44,18472.0,85,697.0
ALT000190,APP000624,2023-04-14,7,57.3,11,45.7,4,91.5,107,44626.65,19030.0,60,570.0
ALT000191,APP000625,2023-07-13,9,66.4,3,59.1,2,58.6,152,9600.65,18289.0,45,1000.0
ALT000192,APP000626,2022-07-05,6,65.9,11,70.3,2,50.2,129,5647.44,4968.0,35,572.0
ALT000193,APP000636,2024-03-09,10,56.9,4,71.8,8,95.8,76,45767.62,13974.0,48,711.0
ALT000194,APP000639,2023-02-05,8,90.5,11,91.1,12,83.0,16,48733.81,49778.0,84,358.0
ALT000195,APP000640,2023-08-31,12,75.1,11,57.0,10,89.0,177,32452.62,28145.0,61,405.0
ALT000196,APP000641,2022-12-26,1,95.5,5,89.2,9,99.2,145,15002.53,22590.0,53,629.0
ALT000197,APP000645,2023-02-22,3,74.5,1,73.1,1,55.6,58,38532.25,31575.0,21,810.0
ALT000198,APP000649,2023-08-17,9,63.4,12,88.5,10,91.4,129,14832.88,3222.0,29,437.0
ALT000199,APP000651,2023-04-04,1,62.6,12,92.3,6,57.8,66,30362.27,11149.0,77,736.0
ALT000200,APP000657,2024-06-09,9,52.7,3,47.1,5,82.5,144,7405.09,22666.0,15,387.0
ALT000201,APP000660,2023-08-19,3,97.8,0,99.1,9,89.6,30,9452.08,46170.0,67,750.0
ALT000202,APP000661,2022-02-08,4,84.8,3,89.5,3,63.5,139,48497.4,40830.0,117,671.0
ALT000203,APP000665,2022-03-12,6,70.5,5,75.3,12,89.3,2,4691.05,35629.0,12,804.0
ALT000204,APP000666,2022-03-29,12,52.3,0,66.4,0,64.3,70,19958.75,21883.0,108,682.0
ALT000205,APP000667,2022-05-14,9,86.9,7,54.1,6,71.6,117,46563.17,5331.0,69,386.0
ALT000206,APP000669,2024-02-11,7,99.5,10,79.7,8,54.8,178,36717.68,14180.0,55,546.0
ALT000207,APP000670,2023-05-17,1,55.8,2,52.0,3,83.1,124,8649.56,48400.0,120,704.0
ALT000208,APP000675,2022-02-13,5,72.0,11,63.0,6,66.2,83,45016.28,34026.0,65,520.0
ALT000209,APP000680,2022-10-25,2,96.6,8,63.4,7,67.1,188,43799.55,46299.0,23,594.0
ALT000210,APP000682,2022-10-12,10,83.3,10,74.6,10,53.8,80,42697.91,19528.0,57,349.0
ALT000211,APP000683,2024-02-02,6,56.3,4,93.1,9,77.5,56,37395.16,18934.0,87,808.0
ALT000212,APP000684,2022-02-10,3,70.0,7,75.2,1,51.8,83,18030.64,39520.0,115,735.0
ALT000213,APP000685,2022-11-09,11,56.0,8,44.5,9,75.8,47,28535.52,28669.0,63,398.0
ALT000214,APP000687,2023-06-27,6,85.9,4,56.2,5,66.9,8,-4931.32,33745.0,115,768.0
ALT000215,APP000688,2022-04-06,0,93.7,1,81.5,5,79.9,2,44588.14,32482.0,15,551.0
ALT000216,APP000690,2023-10-22,2,56.4,9,45.7,1,88.3,25,11262.71,21424.0,105,707.0
ALT000217,APP000691,2024-02-14,4,78.3,4,54.8,5,87.6,110,39754.37,42190.0,-3,660.0
ALT000218,APP000692,,15,58.3,0,96.9,11,76.0,2,6974.94,6688.0,50,793.0
ALT000219,APP000693,2024-03-23,9,59.8,3,64.9,0,52.5,57,9404.71,28134.0,82,792.0
ALT000220,APP000696,2022-11-25,8,81.7,9,61.3,6,70.9,126,42297.31,21531.0,24,482.0
ALT000221,APP000705,2023-01-16,11,74.9,11,55.9,5,81.0,53,-1750.73,26039.0,78,764.0
ALT000222,APP000706,2022-03-13,12,96.1,6,97.6,10,62.1,113,44860.91,3376.0,66,569.0
ALT000223,APP000713,2023-06-05,7,75.4,12,99.9,7,89.7,188,16192.11,8134.0,28,336.0
ALT000224,APP000716,2024-02-09,6,88.8,5,65.0,8,64.5,97,5265.47,20457.0,98,667.0
ALT000225,APP000721,2023-08-05,6,74.1,5,40.7,8,52.6,58,29501.87,16551.0,28,695.0
ALT000226,APP000726,2022-07-17,11,76.6,2,52.3,9,52.1,36,4234.22,25489.0,28,497.0
ALT000227,APP000729,2024-03-04,0,70.4,9,70.1,11,84.1,95,21041.97,48280.0,43,459.0
ALT000228,APP000730,2022-05-12,0,73.7,1,82.7,2,52.0,42,49024.32,35435.0,119,804.0
ALT000229,APP000735,2022-02-04,1,89.5,9,53.6,4,99.2,6,16138.89,6767.0,117,378.0
ALT000230,APP000738,2023-07-06,0,73.3,1,56.4,0,88.0,168,42689.13,18155.0,87,790.0
ALT000231,APP000746,2023-04-25,7,89.6,10,65.3,0,68.6,147,17575.59,7100.0,61,451.0
ALT000232,APP000748,2024-01-10,2,75.3,3,91.8,4,77.9,29,12451.46,28657.0,117,456.0
ALT000233,APP000750,2022-01-11,3,76.0,3,54.5,6,80.4,122,3362.34,31756.0,1,772.0
ALT000234,APP000753,2022-07-12,9,56.1,8,81.0,6,75.1,171,20208.73,39194.0,38,826.0
ALT000235,APP000755,2023-10-05,8,74.1,0,42.0,9,97.7,62,3746.87,46127.0,29,459.0
ALT000236,APP000765,2022-06-20,5,67.4,7,94.0,8,62.5,179,47117.68,47694.0,52,552.0
ALT000237,APP000767,2022-05-07,3,77.7,7,96.1,6,96.0,181,18647.96,15439.0,34,523.0
ALT000238,APP000769,2023-05-01,12,52.7,5,76.2,3,98.4,19,33180.93,49957.0,106,522.0
ALT000239,APP000772,2023-11-02,4,83.2,4,70.7,6,58.3,38,3687.45,43811.0,70,504.0
ALT000240,APP000774,2022-05-11,11,83.9,7,74.0,10,88.5,59,17026.61,21677.0,77,497.0
ALT000241,APP000781,2023-04-11,1,66.0,7,90.0,0,76.8,199,29015.52,22124.0,2,623.0
ALT000242,APP000783,2024-06-10,12,74.1,3,88.2,12,71.1,199,23841.99,5822.0,0,791.0
ALT000243,APP000787,2022-08-30,11,65.1,12,77.8,6,97.1,94,33690.07,11151.0,67,495.0
ALT000244,APP000792,2023-03-16,7,96.3,11,82.7,12,81.1,86,14101.91,48834.0,58,478.0
ALT000245,APP000793,2023-02-06,12,57.5,5,82.2,3,86.0,25,11153.81,16056.0,2,836.0
ALT000246,APP000794,2023-03-12,5,59.9,0,72.7,9,53.9,145,12030.94,34626.0,42,746.0
ALT000247,APP000803,2023-11-04,5,86.2,8,93.7,9,55.9,14,36262.48,39374.0,86,655.0
ALT000248,APP000807,2023-04-26,8,77.8,5,54.5,5,81.2,74,29444.99,7472.0,53,727.0
ALT000249,APP000808,2023-09-12,8,72.4,9,47.5,2,83.1,111,26369.16,40711.0,29,807.0
ALT000250,APP000809,2023-08-13,5,77.3,1,76.9,2,71.7,63,30102.35,11716.0,82,797.0
ALT000251,APP000817,2024-06-01,0,76.0,4,82.3,7,53.2,21,49217.73,48046.0,28,789.0
ALT000252,APP000825,2024-01-25,4,75.6,8,59.1,6,98.4,172,2735.42,13812.0,40,0.0
ALT000253,APP000831,2022-08-28,5,79.9,11,46.7,10,55.1,90,25886.61,29671.0,116,417.0
ALT000254,APP000836,2022-01-15,10,92.4,12,97.9,1,51.1,38,48641.74,22356.0,114,677.0
ALT000255,APP000842,2023-07-03,1,70.2,7,68.5,3,82.0,78,19553.88,35170.0,88,321.0
